pid,pr_text,req_hrs,dur_weeks,req_skills
p1,"Topic: Speech recognition; req: nlp, python, signal processing. Goal: serve via FastAPI.",10,9,"[""nlp"", ""python"", ""signal processing""]"
p2,"Topic: Edge AI for wearables; req: cv, python. Goal: optimize CUDA kernels.",8,18,"[""cv"", ""python""]"
p3,"Topic: Edge AI for wearables; req: cv, data analysis, python. Goal: deploy on Jetson.",17,16,"[""cv"", ""data analysis"", ""python""]"
p4,"Topic: Medical imaging segmentation; req: cv, matlab. Goal: deploy on Jetson.",15,12,"[""cv"", ""matlab""]"
p5,"Topic: Bioinformatics pipelines; req: data analysis, python, statistics. Goal: compress models for mobile.",7,28,"[""data analysis"", ""python"", ""statistics""]"
p6,"Topic: Recommender systems at scale; req: data analysis, nlp, python, statistics. Goal: build a simple data pipeline.",17,27,"[""data analysis"", ""nlp"", ""python"", ""statistics""]"
p7,"Topic: NLP for low-resource languages; req: keras, nlp, python. Goal: deploy on Jetson.",17,14,"[""keras"", ""nlp"", ""python""]"
p8,"Topic: Time-series forecasting for energy; req: python, statistics. Goal: compress models for mobile.",17,22,"[""python"", ""statistics""]"
p9,"Topic: NLP for low-resource languages; req: nlp, python, signal processing. Goal: compress models for mobile.",7,20,"[""nlp"", ""python"", ""signal processing""]"
p10,"Topic: Bioinformatics pipelines; req: data analysis, python, signal processing, statistics. Goal: integrate with ROS2.",10,16,"[""data analysis"", ""python"", ""signal processing"", ""statistics""]"
p11,"Topic: RL for warehouse robots; req: nlp, python, signal processing. Goal: annotate a small dataset.",9,19,"[""nlp"", ""python"", ""signal processing""]"
p12,"Topic: Embedded vision on FPGA; req: cv, matlab. Goal: deploy on Jetson.",8,20,"[""cv"", ""matlab""]"
p13,"Topic: Embedded vision on FPGA; req: cv, matlab. Goal: perform A/B testing.",12,14,"[""cv"", ""matlab""]"
p14,"Topic: Anomaly detection in IoT; req: python, statistics. Goal: optimize CUDA kernels.",11,15,"[""python"", ""statistics""]"
p15,"Topic: RL for warehouse robots; req: nlp, python. Goal: build a simple data pipeline.",12,14,"[""nlp"", ""python""]"
p16,"Topic: Bioinformatics pipelines; req: data analysis, python, statistics. Goal: compress models for mobile.",13,14,"[""data analysis"", ""python"", ""statistics""]"
p17,"Topic: Anomaly detection in IoT; req: python, statistics. Goal: evaluate on edge devices.",17,16,"[""python"", ""statistics""]"
p18,"Topic: Quantitative finance; req: data analysis, nlp, python, statistics. Goal: serve via FastAPI.",15,28,"[""data analysis"", ""nlp"", ""python"", ""statistics""]"
p19,"Topic: Quantitative finance; req: python, signal processing, statistics. Goal: optimize CUDA kernels.",17,19,"[""python"", ""signal processing"", ""statistics""]"
p20,"Topic: Speech recognition; req: nlp, python, signal processing. Goal: integrate with ROS2.",12,22,"[""nlp"", ""python"", ""signal processing""]"
p21,"Topic: Anomaly detection in IoT; req: python, statistics. Goal: serve via FastAPI.",10,20,"[""python"", ""statistics""]"
p22,"Topic: OCR for historical texts; req: cv, nlp, signal processing. Goal: annotate a small dataset.",6,14,"[""cv"", ""nlp"", ""signal processing""]"
p23,"Topic: Control for quadrotors; req: python, signal processing. Goal: annotate a small dataset.",14,25,"[""python"", ""signal processing""]"
p24,"Topic: Embedded vision on FPGA; req: cv, matlab. Goal: annotate a small dataset.",8,14,"[""cv"", ""matlab""]"
p25,"Topic: RL for warehouse robots; req: nlp, python, signal processing. Goal: evaluate on edge devices.",12,24,"[""nlp"", ""python"", ""signal processing""]"
p26,"Topic: Speech recognition; req: nlp, signal processing. Goal: serve via FastAPI.",11,27,"[""nlp"", ""signal processing""]"
p27,"Topic: Time-series forecasting for energy; req: python, statistics. Goal: annotate a small dataset.",15,8,"[""python"", ""statistics""]"
p28,"Topic: Medical imaging segmentation; req: cv, matlab. Goal: serve via FastAPI.",18,19,"[""cv"", ""matlab""]"
p29,"Topic: Quantitative finance; req: data analysis, python, statistics. Goal: build a simple data pipeline.",13,9,"[""data analysis"", ""python"", ""statistics""]"
p30,"Topic: Anomaly detection in IoT; req: python, statistics. Goal: serve via FastAPI.",17,16,"[""python"", ""statistics""]"
p31,"Topic: Recommender systems at scale; req: data analysis, nlp, python, statistics. Goal: compress models for mobile.",16,15,"[""data analysis"", ""nlp"", ""python"", ""statistics""]"
p32,"Topic: Medical imaging segmentation; req: cv, matlab, signal processing. Goal: annotate a small dataset.",13,26,"[""cv"", ""matlab"", ""signal processing""]"
p33,"Topic: RL for warehouse robots; req: nlp, python, signal processing. Goal: perform A/B testing.",11,10,"[""nlp"", ""python"", ""signal processing""]"
p34,"Topic: Quantitative finance; req: nlp, statistics. Goal: build a simple data pipeline.",15,17,"[""nlp"", ""statistics""]"
p35,"Topic: Embedded vision on FPGA; req: cv, matlab. Goal: evaluate on edge devices.",6,19,"[""cv"", ""matlab""]"
p36,"Topic: LLM retrieval and RAG; req: nlp, python, statistics. Goal: perform A/B testing.",16,23,"[""nlp"", ""python"", ""statistics""]"
p37,"Topic: Edge AI for wearables; req: cv, python. Goal: integrate with ROS2.",15,14,"[""cv"", ""python""]"
p38,"Topic: NLP for low-resource languages; req: keras, nlp, python, signal processing. Goal: build a simple data pipeline.",10,10,"[""keras"", ""nlp"", ""python"", ""signal processing""]"
p39,"Topic: Computational photography; req: cv, python, signal processing. Goal: annotate a small dataset.",16,24,"[""cv"", ""python"", ""signal processing""]"
p40,"Topic: Bioinformatics pipelines; req: data analysis, python, signal processing, statistics. Goal: annotate a small dataset.",15,14,"[""data analysis"", ""python"", ""signal processing"", ""statistics""]"
p41,"Topic: Speech recognition; req: nlp, python, signal processing. Goal: deploy on Jetson.",14,20,"[""nlp"", ""python"", ""signal processing""]"
p42,"Topic: Speech recognition; req: nlp, python, signal processing. Goal: integrate with ROS2.",10,19,"[""nlp"", ""python"", ""signal processing""]"
p43,"Topic: GNNs for scientific graphs; req: gnn, pytorch, statistics. Goal: serve via FastAPI.",16,13,"[""gnn"", ""pytorch"", ""statistics""]"
p44,"Topic: Recommender systems at scale; req: nlp, statistics. Goal: annotate a small dataset.",18,26,"[""nlp"", ""statistics""]"
p45,"Topic: LLM retrieval and RAG; req: nlp, python, statistics. Goal: serve via FastAPI.",9,28,"[""nlp"", ""python"", ""statistics""]"
p46,"Topic: LLM retrieval and RAG; req: nlp, python, signal processing, statistics. Goal: annotate a small dataset.",7,11,"[""nlp"", ""python"", ""signal processing"", ""statistics""]"
p47,"Topic: DSP on edge devices; req: python, signal processing. Goal: build a simple data pipeline.",15,21,"[""python"", ""signal processing""]"
p48,"Topic: NLP for low-resource languages; req: keras, nlp, python. Goal: annotate a small dataset.",10,28,"[""keras"", ""nlp"", ""python""]"
p49,"Topic: LLM retrieval and RAG; req: data analysis, nlp, python, statistics. Goal: optimize CUDA kernels.",18,14,"[""data analysis"", ""nlp"", ""python"", ""statistics""]"
p50,"Topic: EEG signal decoding; req: python, signal processing. Goal: optimize CUDA kernels.",18,13,"[""python"", ""signal processing""]"
p51,"Topic: Robotics perception; req: cv, python, pytorch, signal processing. Goal: optimize CUDA kernels.",6,23,"[""cv"", ""python"", ""pytorch"", ""signal processing""]"
p52,"Topic: Quantitative finance; req: data analysis, nlp, python, statistics. Goal: deploy on Jetson.",12,12,"[""data analysis"", ""nlp"", ""python"", ""statistics""]"
p53,"Topic: Recommender systems at scale; req: data analysis, nlp, python, statistics. Goal: integrate with ROS2.",11,25,"[""data analysis"", ""nlp"", ""python"", ""statistics""]"
p54,"Topic: Anomaly detection in IoT; req: python, signal processing, statistics. Goal: annotate a small dataset.",11,10,"[""python"", ""signal processing"", ""statistics""]"
p55,"Topic: Computational photography; req: cv, python. Goal: perform A/B testing.",12,27,"[""cv"", ""python""]"
p56,"Topic: Time-series forecasting for energy; req: data analysis, python, statistics. Goal: build a simple data pipeline.",18,12,"[""data analysis"", ""python"", ""statistics""]"
p57,"Topic: Recommender systems at scale; req: data analysis, nlp, statistics. Goal: optimize CUDA kernels.",12,11,"[""data analysis"", ""nlp"", ""statistics""]"
p58,"Topic: Embedded vision on FPGA; req: cv, matlab. Goal: perform A/B testing.",10,28,"[""cv"", ""matlab""]"
p59,"Topic: Quantitative finance; req: nlp, python, signal processing, statistics. Goal: annotate a small dataset.",11,25,"[""nlp"", ""python"", ""signal processing"", ""statistics""]"
p60,"Topic: RL for warehouse robots; req: nlp, python, signal processing. Goal: integrate with ROS2.",18,17,"[""nlp"", ""python"", ""signal processing""]"
p61,"Topic: GNNs for scientific graphs; req: gnn, pytorch. Goal: perform A/B testing.",8,14,"[""gnn"", ""pytorch""]"
p62,"Topic: OCR for historical texts; req: cv, nlp. Goal: perform A/B testing.",18,25,"[""cv"", ""nlp""]"
p63,"Topic: RL for warehouse robots; req: nlp, python. Goal: annotate a small dataset.",10,14,"[""nlp"", ""python""]"
p64,"Topic: Speech recognition; req: nlp, python, signal processing. Goal: integrate with ROS2.",8,25,"[""nlp"", ""python"", ""signal processing""]"
p65,"Topic: Medical imaging segmentation; req: cv, data analysis, matlab. Goal: build a simple data pipeline.",7,24,"[""cv"", ""data analysis"", ""matlab""]"
p66,"Topic: GNNs for scientific graphs; req: python, pytorch, signal processing. Goal: annotate a small dataset.",18,24,"[""python"", ""pytorch"", ""signal processing""]"
p67,"Topic: Speech recognition; req: nlp, python, signal processing. Goal: integrate with ROS2.",18,25,"[""nlp"", ""python"", ""signal processing""]"
p68,"Topic: OCR for historical texts; req: cv, nlp, signal processing. Goal: optimize CUDA kernels.",6,26,"[""cv"", ""nlp"", ""signal processing""]"
p69,"Topic: Speech recognition; req: data analysis, nlp, python, signal processing. Goal: build a simple data pipeline.",16,28,"[""data analysis"", ""nlp"", ""python"", ""signal processing""]"
p70,"Topic: LLM retrieval and RAG; req: nlp, python, signal processing, statistics. Goal: serve via FastAPI.",10,18,"[""nlp"", ""python"", ""signal processing"", ""statistics""]"
p71,"Topic: Recommender systems at scale; req: python, statistics. Goal: serve via FastAPI.",14,17,"[""python"", ""statistics""]"
p72,"Topic: Recommender systems at scale; req: nlp, python, statistics. Goal: optimize CUDA kernels.",11,19,"[""nlp"", ""python"", ""statistics""]"
p73,"Topic: Control for quadrotors; req: python, signal processing. Goal: perform A/B testing.",14,9,"[""python"", ""signal processing""]"
p74,"Topic: DSP on edge devices; req: python, signal processing. Goal: integrate with ROS2.",8,18,"[""python"", ""signal processing""]"
p75,"Topic: EEG signal decoding; req: python, signal processing. Goal: build a simple data pipeline.",13,15,"[""python"", ""signal processing""]"
p76,"Topic: Control for quadrotors; req: python, signal processing. Goal: evaluate on edge devices.",7,20,"[""python"", ""signal processing""]"
p77,"Topic: Recommender systems at scale; req: nlp, python, statistics. Goal: perform A/B testing.",17,28,"[""nlp"", ""python"", ""statistics""]"
p78,"Topic: NLP for low-resource languages; req: data analysis, keras, nlp. Goal: perform A/B testing.",17,28,"[""data analysis"", ""keras"", ""nlp""]"
p79,"Topic: Graph mining for fraud; req: data analysis, gnn, python, statistics. Goal: perform A/B testing.",16,22,"[""data analysis"", ""gnn"", ""python"", ""statistics""]"
p80,"Topic: Anomaly detection in IoT; req: python, statistics. Goal: deploy on Jetson.",15,25,"[""python"", ""statistics""]"
p81,"Topic: Graph mining for fraud; req: gnn, statistics. Goal: deploy on Jetson.",13,17,"[""gnn"", ""statistics""]"
p82,"Topic: Edge AI for wearables; req: cv, python. Goal: evaluate on edge devices.",14,22,"[""cv"", ""python""]"
p83,"Topic: Quantitative finance; req: data analysis, nlp, python, statistics. Goal: deploy on Jetson.",14,20,"[""data analysis"", ""nlp"", ""python"", ""statistics""]"
p84,"Topic: Time-series forecasting for energy; req: python, statistics. Goal: optimize CUDA kernels.",8,28,"[""python"", ""statistics""]"
p85,"Topic: DSP on edge devices; req: python, signal processing. Goal: deploy on Jetson.",7,13,"[""python"", ""signal processing""]"
p86,"Topic: Embedded vision on FPGA; req: cv, matlab, signal processing. Goal: perform A/B testing.",14,8,"[""cv"", ""matlab"", ""signal processing""]"
p87,"Topic: Robotics perception; req: cv, python, pytorch. Goal: build a simple data pipeline.",7,25,"[""cv"", ""python"", ""pytorch""]"
p88,"Topic: OCR for historical texts; req: cv, nlp. Goal: integrate with ROS2.",6,25,"[""cv"", ""nlp""]"
p89,"Topic: Time-series forecasting for energy; req: data analysis, python, statistics. Goal: serve via FastAPI.",6,19,"[""data analysis"", ""python"", ""statistics""]"
p90,"Topic: Bioinformatics pipelines; req: python, statistics. Goal: deploy on Jetson.",15,20,"[""python"", ""statistics""]"
p91,"Topic: Edge AI for wearables; req: cv, python. Goal: serve via FastAPI.",7,28,"[""cv"", ""python""]"
p92,"Topic: RL for warehouse robots; req: nlp, python. Goal: perform A/B testing.",14,21,"[""nlp"", ""python""]"
p93,"Topic: GNNs for scientific graphs; req: gnn, pytorch, statistics. Goal: serve via FastAPI.",16,27,"[""gnn"", ""pytorch"", ""statistics""]"
p94,"Topic: Robotics perception; req: data analysis, python, pytorch. Goal: annotate a small dataset.",6,12,"[""data analysis"", ""python"", ""pytorch""]"
p95,"Topic: DSP on edge devices; req: python, signal processing. Goal: deploy on Jetson.",10,14,"[""python"", ""signal processing""]"
p96,"Topic: Medical imaging segmentation; req: cv, matlab. Goal: serve via FastAPI.",10,21,"[""cv"", ""matlab""]"
p97,"Topic: Time-series forecasting for energy; req: python, statistics. Goal: perform A/B testing.",11,27,"[""python"", ""statistics""]"
p98,"Topic: Quantitative finance; req: data analysis, nlp, python, statistics. Goal: serve via FastAPI.",14,21,"[""data analysis"", ""nlp"", ""python"", ""statistics""]"
p99,"Topic: OCR for historical texts; req: cv, nlp. Goal: integrate with ROS2.",7,17,"[""cv"", ""nlp""]"
p100,"Topic: Computational photography; req: cv, python. Goal: serve via FastAPI.",9,21,"[""cv"", ""python""]"
p101,"Topic: Computational photography; req: cv, python. Goal: annotate a small dataset.",12,18,"[""cv"", ""python""]"
p102,"Topic: EEG signal decoding; req: python, signal processing. Goal: serve via FastAPI.",16,27,"[""python"", ""signal processing""]"
p103,"Topic: GNNs for scientific graphs; req: gnn, python, pytorch. Goal: annotate a small dataset.",12,21,"[""gnn"", ""python"", ""pytorch""]"
p104,"Topic: Embedded vision on FPGA; req: cv, data analysis, matlab. Goal: evaluate on edge devices.",9,10,"[""cv"", ""data analysis"", ""matlab""]"
p105,"Topic: GNNs for scientific graphs; req: gnn, python, pytorch. Goal: optimize CUDA kernels.",6,28,"[""gnn"", ""python"", ""pytorch""]"
p106,"Topic: OCR for historical texts; req: cv, nlp. Goal: evaluate on edge devices.",13,24,"[""cv"", ""nlp""]"
p107,"Topic: OCR for historical texts; req: cv, nlp. Goal: perform A/B testing.",6,20,"[""cv"", ""nlp""]"
p108,"Topic: Speech recognition; req: nlp, python, signal processing. Goal: perform A/B testing.",7,22,"[""nlp"", ""python"", ""signal processing""]"
p109,"Topic: Robotics perception; req: cv, data analysis, python, pytorch. Goal: perform A/B testing.",8,24,"[""cv"", ""data analysis"", ""python"", ""pytorch""]"
p110,"Topic: DSP on edge devices; req: python, signal processing. Goal: annotate a small dataset.",8,28,"[""python"", ""signal processing""]"
p111,"Topic: OCR for historical texts; req: cv, nlp. Goal: evaluate on edge devices.",8,8,"[""cv"", ""nlp""]"
p112,"Topic: LLM retrieval and RAG; req: nlp, python. Goal: compress models for mobile.",12,25,"[""nlp"", ""python""]"
p113,"Topic: RL for warehouse robots; req: nlp, python. Goal: integrate with ROS2.",14,26,"[""nlp"", ""python""]"
p114,"Topic: Medical imaging segmentation; req: cv, matlab. Goal: compress models for mobile.",16,10,"[""cv"", ""matlab""]"
p115,"Topic: Graph mining for fraud; req: gnn, python, statistics. Goal: perform A/B testing.",9,26,"[""gnn"", ""python"", ""statistics""]"
p116,"Topic: Computational photography; req: cv, python. Goal: integrate with ROS2.",8,25,"[""cv"", ""python""]"
p117,"Topic: Computational photography; req: cv, python. Goal: compress models for mobile.",8,26,"[""cv"", ""python""]"
p118,"Topic: Recommender systems at scale; req: nlp, python, statistics. Goal: optimize CUDA kernels.",6,15,"[""nlp"", ""python"", ""statistics""]"
p119,"Topic: DSP on edge devices; req: python, signal processing. Goal: deploy on Jetson.",10,24,"[""python"", ""signal processing""]"
p120,"Topic: Anomaly detection in IoT; req: python, statistics. Goal: deploy on Jetson.",14,28,"[""python"", ""statistics""]"
p121,"Topic: Anomaly detection in IoT; req: python, statistics. Goal: compress models for mobile.",9,16,"[""python"", ""statistics""]"
p122,"Topic: DSP on edge devices; req: python, signal processing. Goal: compress models for mobile.",13,14,"[""python"", ""signal processing""]"
p123,"Topic: Time-series forecasting for energy; req: python, statistics. Goal: annotate a small dataset.",16,17,"[""python"", ""statistics""]"
p124,"Topic: Edge AI for wearables; req: cv, python. Goal: build a simple data pipeline.",7,21,"[""cv"", ""python""]"
p125,"Topic: Anomaly detection in IoT; req: python, statistics. Goal: deploy on Jetson.",13,11,"[""python"", ""statistics""]"
p126,"Topic: Bioinformatics pipelines; req: data analysis, python, statistics. Goal: perform A/B testing.",14,18,"[""data analysis"", ""python"", ""statistics""]"
p127,"Topic: Speech recognition; req: nlp, python, signal processing. Goal: build a simple data pipeline.",11,19,"[""nlp"", ""python"", ""signal processing""]"
p128,"Topic: Speech recognition; req: data analysis, nlp, python, signal processing. Goal: integrate with ROS2.",12,26,"[""data analysis"", ""nlp"", ""python"", ""signal processing""]"
p129,"Topic: GNNs for scientific graphs; req: gnn, python, pytorch, statistics. Goal: deploy on Jetson.",10,14,"[""gnn"", ""python"", ""pytorch"", ""statistics""]"
p130,"Topic: Embedded vision on FPGA; req: cv, matlab. Goal: deploy on Jetson.",14,19,"[""cv"", ""matlab""]"
p131,"Topic: Medical imaging segmentation; req: cv, data analysis, matlab. Goal: perform A/B testing.",16,19,"[""cv"", ""data analysis"", ""matlab""]"
p132,"Topic: Medical imaging segmentation; req: cv, data analysis, matlab. Goal: evaluate on edge devices.",9,16,"[""cv"", ""data analysis"", ""matlab""]"
p133,"Topic: NLP for low-resource languages; req: keras, nlp, python. Goal: deploy on Jetson.",16,17,"[""keras"", ""nlp"", ""python""]"
p134,"Topic: OCR for historical texts; req: cv, nlp. Goal: evaluate on edge devices.",14,12,"[""cv"", ""nlp""]"
p135,"Topic: GNNs for scientific graphs; req: data analysis, gnn, python, pytorch, statistics. Goal: integrate with ROS2.",11,28,"[""data analysis"", ""gnn"", ""python"", ""pytorch"", ""statistics""]"
p136,"Topic: Recommender systems at scale; req: data analysis, nlp, python. Goal: perform A/B testing.",18,22,"[""data analysis"", ""nlp"", ""python""]"
p137,"Topic: DSP on edge devices; req: python, signal processing. Goal: compress models for mobile.",7,19,"[""python"", ""signal processing""]"
p138,"Topic: DSP on edge devices; req: python, signal processing. Goal: compress models for mobile.",10,28,"[""python"", ""signal processing""]"
p139,"Topic: DSP on edge devices; req: python, signal processing. Goal: optimize CUDA kernels.",11,25,"[""python"", ""signal processing""]"
p140,"Topic: DSP on edge devices; req: python, signal processing. Goal: perform A/B testing.",12,9,"[""python"", ""signal processing""]"
p141,"Topic: Anomaly detection in IoT; req: python, statistics. Goal: compress models for mobile.",12,20,"[""python"", ""statistics""]"
p142,"Topic: OCR for historical texts; req: cv, nlp, signal processing. Goal: optimize CUDA kernels.",6,19,"[""cv"", ""nlp"", ""signal processing""]"
p143,"Topic: LLM retrieval and RAG; req: nlp, python, statistics. Goal: build a simple data pipeline.",15,26,"[""nlp"", ""python"", ""statistics""]"
p144,"Topic: LLM retrieval and RAG; req: nlp, python, statistics. Goal: build a simple data pipeline.",11,10,"[""nlp"", ""python"", ""statistics""]"
p145,"Topic: Speech recognition; req: nlp, python, signal processing. Goal: annotate a small dataset.",15,9,"[""nlp"", ""python"", ""signal processing""]"
p146,"Topic: Medical imaging segmentation; req: cv, matlab, signal processing. Goal: integrate with ROS2.",12,27,"[""cv"", ""matlab"", ""signal processing""]"
p147,"Topic: RL for warehouse robots; req: nlp, python. Goal: integrate with ROS2.",12,23,"[""nlp"", ""python""]"
p148,"Topic: Speech recognition; req: python, signal processing. Goal: compress models for mobile.",16,17,"[""python"", ""signal processing""]"
p149,"Topic: Time-series forecasting for energy; req: python, statistics. Goal: evaluate on edge devices.",14,23,"[""python"", ""statistics""]"
p150,"Topic: OCR for historical texts; req: cv, nlp. Goal: integrate with ROS2.",18,17,"[""cv"", ""nlp""]"
p151,"Topic: Speech recognition; req: data analysis, python, signal processing. Goal: serve via FastAPI.",7,13,"[""data analysis"", ""python"", ""signal processing""]"
p152,"Topic: EEG signal decoding; req: python, signal processing. Goal: annotate a small dataset.",11,11,"[""python"", ""signal processing""]"
p153,"Topic: Edge AI for wearables; req: cv, python. Goal: deploy on Jetson.",9,19,"[""cv"", ""python""]"
p154,"Topic: Recommender systems at scale; req: nlp, python, statistics. Goal: optimize CUDA kernels.",10,25,"[""nlp"", ""python"", ""statistics""]"
p155,"Topic: Quantitative finance; req: data analysis, nlp, python, statistics. Goal: compress models for mobile.",18,16,"[""data analysis"", ""nlp"", ""python"", ""statistics""]"
p156,"Topic: Time-series forecasting for energy; req: python, statistics. Goal: compress models for mobile.",15,10,"[""python"", ""statistics""]"
p157,"Topic: Recommender systems at scale; req: nlp, python, signal processing, statistics. Goal: compress models for mobile.",12,19,"[""nlp"", ""python"", ""signal processing"", ""statistics""]"
p158,"Topic: Speech recognition; req: nlp, python, signal processing. Goal: annotate a small dataset.",16,24,"[""nlp"", ""python"", ""signal processing""]"
p159,"Topic: EEG signal decoding; req: python, signal processing. Goal: integrate with ROS2.",7,25,"[""python"", ""signal processing""]"
p160,"Topic: EEG signal decoding; req: python, signal processing. Goal: integrate with ROS2.",6,11,"[""python"", ""signal processing""]"
p161,"Topic: Robotics perception; req: cv, python, pytorch. Goal: optimize CUDA kernels.",6,10,"[""cv"", ""python"", ""pytorch""]"
p162,"Topic: GNNs for scientific graphs; req: data analysis, gnn, python, pytorch. Goal: integrate with ROS2.",14,13,"[""data analysis"", ""gnn"", ""python"", ""pytorch""]"
p163,"Topic: Graph mining for fraud; req: gnn, python, statistics. Goal: perform A/B testing.",17,11,"[""gnn"", ""python"", ""statistics""]"
p164,"Topic: Time-series forecasting for energy; req: python, statistics. Goal: deploy on Jetson.",17,23,"[""python"", ""statistics""]"
p165,"Topic: RL for warehouse robots; req: nlp, python. Goal: evaluate on edge devices.",10,16,"[""nlp"", ""python""]"
p166,"Topic: Speech recognition; req: data analysis, nlp, python, signal processing. Goal: build a simple data pipeline.",18,8,"[""data analysis"", ""nlp"", ""python"", ""signal processing""]"
p167,"Topic: EEG signal decoding; req: python, signal processing. Goal: optimize CUDA kernels.",7,24,"[""python"", ""signal processing""]"
p168,"Topic: NLP for low-resource languages; req: nlp, python. Goal: perform A/B testing.",10,8,"[""nlp"", ""python""]"
p169,"Topic: NLP for low-resource languages; req: keras, python. Goal: integrate with ROS2.",6,19,"[""keras"", ""python""]"
p170,"Topic: Robotics perception; req: cv, python, pytorch. Goal: evaluate on edge devices.",11,15,"[""cv"", ""python"", ""pytorch""]"
p171,"Topic: Anomaly detection in IoT; req: python, signal processing, statistics. Goal: compress models for mobile.",15,19,"[""python"", ""signal processing"", ""statistics""]"
p172,"Topic: Embedded vision on FPGA; req: cv, matlab, signal processing. Goal: serve via FastAPI.",12,13,"[""cv"", ""matlab"", ""signal processing""]"
p173,"Topic: Time-series forecasting for energy; req: python, statistics. Goal: evaluate on edge devices.",13,15,"[""python"", ""statistics""]"
p174,"Topic: Recommender systems at scale; req: nlp, statistics. Goal: annotate a small dataset.",15,24,"[""nlp"", ""statistics""]"
p175,"Topic: EEG signal decoding; req: python, signal processing. Goal: annotate a small dataset.",9,10,"[""python"", ""signal processing""]"
p176,"Topic: Graph mining for fraud; req: gnn, python, statistics. Goal: compress models for mobile.",18,15,"[""gnn"", ""python"", ""statistics""]"
p177,"Topic: Medical imaging segmentation; req: cv, matlab. Goal: perform A/B testing.",9,9,"[""cv"", ""matlab""]"
p178,"Topic: RL for warehouse robots; req: nlp, python. Goal: perform A/B testing.",7,10,"[""nlp"", ""python""]"
p179,"Topic: Time-series forecasting for energy; req: python, signal processing, statistics. Goal: compress models for mobile.",12,17,"[""python"", ""signal processing"", ""statistics""]"
p180,"Topic: EEG signal decoding; req: python, signal processing. Goal: build a simple data pipeline.",6,9,"[""python"", ""signal processing""]"
p181,"Topic: NLP for low-resource languages; req: keras, nlp, python. Goal: serve via FastAPI.",8,10,"[""keras"", ""nlp"", ""python""]"
p182,"Topic: Recommender systems at scale; req: nlp, python, signal processing, statistics. Goal: evaluate on edge devices.",8,12,"[""nlp"", ""python"", ""signal processing"", ""statistics""]"
p183,"Topic: NLP for low-resource languages; req: keras, python. Goal: build a simple data pipeline.",17,15,"[""keras"", ""python""]"
p184,"Topic: LLM retrieval and RAG; req: nlp, python, statistics. Goal: optimize CUDA kernels.",8,10,"[""nlp"", ""python"", ""statistics""]"
p185,"Topic: LLM retrieval and RAG; req: data analysis, nlp, python, statistics. Goal: integrate with ROS2.",8,26,"[""data analysis"", ""nlp"", ""python"", ""statistics""]"
p186,"Topic: Quantitative finance; req: nlp, python, statistics. Goal: serve via FastAPI.",7,10,"[""nlp"", ""python"", ""statistics""]"
p187,"Topic: GNNs for scientific graphs; req: gnn, signal processing, statistics. Goal: integrate with ROS2.",8,18,"[""gnn"", ""signal processing"", ""statistics""]"
p188,"Topic: Bioinformatics pipelines; req: data analysis, python, statistics. Goal: build a simple data pipeline.",15,23,"[""data analysis"", ""python"", ""statistics""]"
p189,"Topic: NLP for low-resource languages; req: nlp, python. Goal: build a simple data pipeline.",16,8,"[""nlp"", ""python""]"
p190,"Topic: EEG signal decoding; req: python, signal processing. Goal: optimize CUDA kernels.",8,9,"[""python"", ""signal processing""]"
p191,"Topic: Anomaly detection in IoT; req: python, statistics. Goal: perform A/B testing.",6,15,"[""python"", ""statistics""]"
p192,"Topic: OCR for historical texts; req: cv, nlp. Goal: evaluate on edge devices.",6,13,"[""cv"", ""nlp""]"
p193,"Topic: GNNs for scientific graphs; req: data analysis, gnn, python. Goal: compress models for mobile.",10,27,"[""data analysis"", ""gnn"", ""python""]"
p194,"Topic: LLM retrieval and RAG; req: nlp, python, signal processing, statistics. Goal: perform A/B testing.",11,12,"[""nlp"", ""python"", ""signal processing"", ""statistics""]"
p195,"Topic: Control for quadrotors; req: python, signal processing. Goal: serve via FastAPI.",11,23,"[""python"", ""signal processing""]"
p196,"Topic: Edge AI for wearables; req: cv, data analysis, python. Goal: evaluate on edge devices.",18,13,"[""cv"", ""data analysis"", ""python""]"
p197,"Topic: Speech recognition; req: nlp, python, signal processing. Goal: annotate a small dataset.",17,18,"[""nlp"", ""python"", ""signal processing""]"
p198,"Topic: DSP on edge devices; req: data analysis, python, signal processing. Goal: build a simple data pipeline.",14,11,"[""data analysis"", ""python"", ""signal processing""]"
p199,"Topic: Graph mining for fraud; req: gnn, python, statistics. Goal: build a simple data pipeline.",12,16,"[""gnn"", ""python"", ""statistics""]"
p200,"Topic: EEG signal decoding; req: python, signal processing. Goal: build a simple data pipeline.",11,23,"[""python"", ""signal processing""]"
